NCBI_ID	predicted_mobility
NZ_CP090344.1	non-mobilizable
NZ_CP090433.1	non-mobilizable
NZ_CP090463.1	non-mobilizable
NZ_CP090469.1	non-mobilizable
NZ_CP090932.1	conjugative
NZ_CP091050.1	non-mobilizable
NZ_CP091059.1	non-mobilizable
NZ_CP091062.1	non-mobilizable
NZ_CP091069.1	non-mobilizable
NZ_CP091327.1	non-mobilizable
NZ_CP091583.1	conjugative
NZ_CP091588.1	conjugative
NZ_CP091602.1	conjugative
NZ_CP091979.1	non-mobilizable
NZ_CP092398.1	conjugative
NZ_CP092787.1	non-mobilizable
NZ_CP092794.1	non-mobilizable
NZ_CP092902.1	conjugative
NZ_CP094228.1	conjugative
NZ_CP094276.1	conjugative
NZ_CP094941.1	non-mobilizable
NZ_CP094992.1	conjugative
NZ_CP095241.1	non-mobilizable
NZ_CP095251.1	non-mobilizable
NZ_CP095254.1	non-mobilizable
NZ_CP095255.1	non-mobilizable
NZ_CP095422.1	non-mobilizable
NZ_CP095429.1	non-mobilizable
NZ_CP097077.1	conjugative
NZ_CP097080.1	non-mobilizable
NZ_CP097083.1	non-mobilizable
NZ_CP097224.1	non-mobilizable
NZ_CP097233.1	conjugative
NZ_CP097238.1	conjugative
NZ_CP097386.1	non-mobilizable
NZ_CP097652.1	non-mobilizable
NZ_CP097678.1	conjugative
NZ_CP097680.1	mobilizable
NZ_CP097690.1	conjugative
NZ_CP098127.1	conjugative
NZ_CP098133.1	conjugative
NZ_CP098135.1	conjugative
NZ_CP098140.1	conjugative
NZ_CP098147.1	conjugative
NZ_CP098170.1	conjugative
NZ_CP099414.1	non-mobilizable
NZ_CP099523.1	conjugative
NZ_CP100479.1	conjugative
NZ_CP100521.1	conjugative
NZ_CP100602.1	non-mobilizable
NZ_CP101774.1	non-mobilizable
NZ_CP101786.1	non-mobilizable
NZ_CP101794.1	non-mobilizable
NZ_CP102078.1	conjugative
NZ_CP102187.1	non-mobilizable
NZ_CP102193.1	non-mobilizable
NZ_CP102391.1	non-mobilizable
NZ_CP102436.1	non-mobilizable
NZ_CP102439.1	non-mobilizable
NZ_CP102837.1	non-mobilizable
NZ_CP102878.1	non-mobilizable
NZ_CP102884.1	non-mobilizable
NZ_CP103316.1	non-mobilizable
NZ_CP103504.1	conjugative
NZ_CP103513.1	non-mobilizable
NZ_CP104316.1	non-mobilizable
NZ_CP106761.1	non-mobilizable
NZ_CP106839.1	conjugative
NZ_CP106908.1	non-mobilizable
NZ_CP106913.1	non-mobilizable
NZ_CP107015.1	non-mobilizable
NZ_CP110662.1	conjugative
NZ_CP114856.1	non-mobilizable
NZ_CP116116.1	conjugative
NZ_CP116904.1	non-mobilizable
NZ_CP119178.1	non-mobilizable
NZ_FO834905.1	mobilizable
NZ_LN824134.1	conjugative
NZ_LR134211.1	non-mobilizable
NZ_LR134257.1	non-mobilizable
NZ_LR745043.1	non-mobilizable
NZ_LR745046.1	non-mobilizable
NZ_LR890192.1	conjugative
NZ_LR890313.1	conjugative
NZ_LR890425.1	non-mobilizable
NZ_LR890458.1	non-mobilizable
NZ_LR890465.1	non-mobilizable
NZ_LR890543.1	conjugative
NZ_LR890573.1	conjugative
NZ_LR890737.1	conjugative
NZ_OW969913.1	conjugative
AP019670.1	conjugative
CP027700.1	conjugative
CP028182.1	conjugative
CP028705.1	conjugative
CP031138.1	conjugative
CP031373.2	conjugative
CP031737.1	mobilizable
CP033682.1	mobilizable
CP034323.1	conjugative
CP035910.1	conjugative
CP041053.1	conjugative
CP041938.1	conjugative
CP052768.1	conjugative
CP064823.1	non-mobilizable
CP071391.1	conjugative
CP074443.1	conjugative
CP074526.1	conjugative
CP074543.1	conjugative
CP074546.1	conjugative
CP099292.1	conjugative
CP101837.1	conjugative
CP102689.1	conjugative
CP103366.1	conjugative
CP110357.1	conjugative
CP110414.1	conjugative
CP110939.1	conjugative
CP110945.1	conjugative
CP110955.1	conjugative
CP110960.1	conjugative
CP110965.1	conjugative
CP114575.1	conjugative
CP117736.1	conjugative
CP117754.1	conjugative
CP119122.1	conjugative
NZ_AP019679.1	conjugative
NZ_AP022058.1	non-mobilizable
NZ_AP022129.1	conjugative
NZ_AP022249.1	conjugative
NZ_AP022269.1	conjugative
NZ_AP022436.1	conjugative
NZ_AP023194.1	conjugative
NZ_AP023202.1	conjugative
NZ_AP023210.1	conjugative
NZ_AP023227.1	conjugative
NZ_AP024206.1	conjugative
NZ_CP003997.1	conjugative
NZ_CP008799.1	conjugative
NZ_CP009776.1	conjugative
NZ_CP010395.1	conjugative
NZ_CP010881.1	conjugative
NZ_CP011983.1	conjugative
NZ_CP011987.1	conjugative
NZ_CP012562.1	mobilizable
NZ_CP012563.1	conjugative
NZ_CP012755.1	mobilizable
NZ_CP012990.1	conjugative
NZ_CP012995.1	conjugative
NZ_CP014006.1	conjugative
NZ_CP014069.2	conjugative
NZ_CP015825.1	conjugative
NZ_CP016920.1	mobilizable
NZ_CP018429.1	conjugative
NZ_CP018435.1	conjugative
NZ_CP018951.1	conjugative
NZ_CP019073.1	conjugative
NZ_CP020074.1	conjugative
NZ_CP020090.1	conjugative
NZ_CP020111.1	conjugative
NZ_CP020512.1	conjugative
NZ_CP020839.1	conjugative
NZ_CP021534.1	conjugative
NZ_CP021542.1	conjugative
NZ_CP021682.1	conjugative
NZ_CP021692.1	conjugative
NZ_CP021715.1	conjugative
NZ_CP021738.1	conjugative
NZ_CP021759.1	conjugative
NZ_CP021836.1	conjugative
NZ_CP021901.1	conjugative
NZ_CP022351.1	conjugative
NZ_CP022575.1	conjugative
NZ_CP022694.2	conjugative
NZ_CP023188.1	conjugative
NZ_CP023897.1	conjugative
NZ_CP024042.1	mobilizable
NZ_CP024806.1	conjugative
NZ_CP024814.1	conjugative
NZ_CP024818.1	conjugative
NZ_CP024820.1	conjugative
NZ_CP024825.1	conjugative
NZ_CP024828.1	conjugative
NZ_CP024833.1	conjugative
NZ_CP025007.1	conjugative
NZ_CP025041.1	conjugative
NZ_CP025215.1	conjugative
NZ_CP025948.1	conjugative
NZ_CP026015.1	conjugative
NZ_CP026476.1	conjugative
NZ_CP026577.2	conjugative
NZ_CP026727.1	conjugative
NZ_CP026758.1	conjugative
NZ_CP027057.1	conjugative
NZ_CP027157.1	conjugative
NZ_CP027159.1	non-mobilizable
NZ_CP027204.2	conjugative
NZ_CP028536.2	conjugative
NZ_CP028577.1	conjugative
NZ_CP028718.1	conjugative
NZ_CP028781.2	conjugative
NZ_CP028786.2	conjugative
NZ_CP029098.1	non-mobilizable
NZ_CP029100.1	mobilizable
NZ_CP029245.1	conjugative
NZ_CP029386.1	conjugative
NZ_CP029735.1	conjugative
NZ_CP030299.1	conjugative
NZ_CP030344.1	mobilizable
NZ_CP031725.1	conjugative
NZ_CP031884.1	conjugative
NZ_CP032190.1	conjugative
NZ_CP032305.1	conjugative
NZ_CP032424.1	conjugative
NZ_CP032889.1	conjugative
NZ_CP033057.1	conjugative
NZ_CP033399.1	conjugative
NZ_CP034133.1	conjugative
NZ_CP034284.1	conjugative
NZ_CP034591.1	conjugative
NZ_CP034744.1	conjugative
NZ_CP034762.1	mobilizable
NZ_CP034957.1	conjugative
NZ_CP034965.1	conjugative
NZ_CP035125.1	conjugative
NZ_CP036179.1	conjugative
NZ_CP036195.1	conjugative
NZ_CP036197.1	mobilizable
NZ_CP036205.1	conjugative
NZ_CP036312.1	conjugative
NZ_CP036323.1	mobilizable
NZ_CP036331.1	mobilizable
NZ_CP036333.1	mobilizable
NZ_CP037965.1	conjugative
NZ_CP038280.1	conjugative
NZ_CP038458.1	non-mobilizable
NZ_CP039811.1	conjugative
NZ_CP040399.1	conjugative
NZ_CP041033.1	conjugative
NZ_CP041048.1	conjugative
NZ_CP041931.1	conjugative
NZ_CP041947.1	conjugative
NZ_CP041956.1	conjugative
NZ_CP042339.1	conjugative
NZ_CP042935.2	conjugative
NZ_CP043050.1	conjugative
NZ_CP043281.1	conjugative
NZ_CP043287.1	conjugative
NZ_CP043296.1	mobilizable
NZ_CP043333.1	conjugative
NZ_CP043335.1	conjugative
NZ_CP043513.1	conjugative
NZ_CP043582.1	conjugative
NZ_CP043586.1	conjugative
NZ_CP043591.1	conjugative
NZ_CP045055.1	conjugative
NZ_CP045062.1	conjugative
NZ_CP045195.1	conjugative
NZ_CP045680.1	mobilizable
NZ_CP046274.1	conjugative
NZ_CP047006.1	conjugative
NZ_CP048009.1	conjugative
NZ_CP048028.1	conjugative
NZ_CP048321.1	conjugative
NZ_CP048325.1	conjugative
NZ_CP048327.1	conjugative
NZ_CP048332.1	conjugative
NZ_CP048346.1	conjugative
NZ_CP048392.1	conjugative
NZ_CP048918.1	conjugative
NZ_CP049352.1	conjugative
NZ_CP049602.1	conjugative
NZ_CP050375.1	conjugative
NZ_CP051221.1	conjugative
NZ_CP053646.1	conjugative
NZ_CP053694.1	conjugative
NZ_CP053726.1	conjugative
NZ_CP053774.1	non-mobilizable
NZ_CP053776.1	mobilizable
NZ_CP053777.1	non-mobilizable
NZ_CP053778.1	mobilizable
NZ_CP053779.1	non-mobilizable
NZ_CP054130.1	conjugative
NZ_CP054267.1	conjugative
NZ_CP054273.1	conjugative
NZ_CP054409.1	conjugative
NZ_CP054412.1	conjugative
NZ_CP055250.1	conjugative
NZ_CP056261.1	conjugative
NZ_CP057333.1	mobilizable
NZ_CP058203.1	mobilizable
NZ_CP058328.1	conjugative
NZ_CP058621.1	conjugative
NZ_CP058664.1	conjugative
NZ_CP058945.1	conjugative
NZ_CP059006.1	conjugative
NZ_CP059286.1	conjugative
NZ_CP059715.1	conjugative
NZ_CP060876.1	conjugative
NZ_CP060883.1	conjugative
NZ_CP060888.1	conjugative
NZ_CP060893.1	conjugative
NZ_CP060901.1	conjugative
NZ_CP060905.1	conjugative
NZ_CP060911.1	conjugative
NZ_CP060917.1	non-mobilizable
NZ_CP060922.1	non-mobilizable
NZ_CP060931.1	conjugative
NZ_CP060936.1	non-mobilizable
NZ_CP060941.1	conjugative
NZ_CP060949.1	conjugative
NZ_CP060952.1	conjugative
NZ_CP060966.1	conjugative
NZ_CP060972.1	conjugative
NZ_CP060976.1	conjugative
NZ_CP060982.1	conjugative
NZ_CP060990.1	conjugative
NZ_CP061063.1	mobilizable
NZ_CP061110.1	conjugative
NZ_CP061747.1	conjugative
NZ_CP064177.1	conjugative
NZ_CP064660.1	conjugative
NZ_CP065346.1	conjugative
NZ_CP065350.1	conjugative
NZ_CP067096.1	conjugative
NZ_CP068606.1	conjugative
NZ_CP068612.1	conjugative
NZ_CP069207.1	mobilizable
NZ_CP070086.1	conjugative
NZ_CP070413.1	mobilizable
NZ_CP070418.1	mobilizable
NZ_CP070428.1	mobilizable
NZ_CP070433.1	mobilizable
NZ_CP070442.1	conjugative
NZ_CP070448.1	mobilizable
NZ_CP070452.1	mobilizable
NZ_CP070456.1	conjugative
NZ_CP070461.1	mobilizable
NZ_CP070561.1	conjugative
NZ_CP071396.1	conjugative
NZ_CP072406.1	mobilizable
NZ_CP072411.1	mobilizable
NZ_CP072416.1	mobilizable
NZ_CP072470.1	conjugative
NZ_CP072860.1	conjugative
NZ_CP073313.1	mobilizable
NZ_CP073363.1	conjugative
NZ_CP075887.1	conjugative
NZ_CP076308.1	conjugative
NZ_CP076319.1	conjugative
NZ_CP076530.1	conjugative
NZ_CP077431.1	non-mobilizable
NZ_CP078037.1	mobilizable
NZ_CP079136.1	mobilizable
NZ_CP079142.1	mobilizable
NZ_CP079148.1	mobilizable
NZ_CP079153.1	mobilizable
NZ_CP079160.1	mobilizable
NZ_CP079168.1	mobilizable
NZ_CP079176.1	mobilizable
NZ_CP079183.1	mobilizable
NZ_CP079190.1	mobilizable
NZ_CP079603.1	mobilizable
NZ_CP079611.1	mobilizable
NZ_CP079621.1	mobilizable
NZ_CP079640.1	mobilizable
NZ_CP079661.1	mobilizable
NZ_CP079671.1	mobilizable
NZ_CP079678.1	mobilizable
NZ_CP079686.1	mobilizable
NZ_CP079695.1	mobilizable
NZ_CP079730.1	mobilizable
NZ_CP079811.1	mobilizable
NZ_CP080361.1	conjugative
NZ_CP080367.1	conjugative
NZ_CP080473.1	conjugative
NZ_CP081309.1	conjugative
NZ_CP081819.1	conjugative
NZ_CP081829.1	conjugative
NZ_CP082124.1	conjugative
NZ_CP082900.1	conjugative
NZ_CP083009.1	conjugative
NZ_CP083046.1	mobilizable
NZ_CP083050.1	mobilizable
NZ_CP083059.1	mobilizable
NZ_CP083703.1	conjugative
NZ_CP083935.1	mobilizable
NZ_CP084047.1	mobilizable
NZ_CP084105.1	conjugative
NZ_CP084903.1	non-mobilizable
NZ_CP084904.1	non-mobilizable
NZ_CP085862.1	conjugative
NZ_CP086225.1	conjugative
NZ_CP086289.1	conjugative
NZ_CP086339.1	conjugative
NZ_CP086341.1	conjugative
NZ_CP086527.1	conjugative
NZ_CP086539.1	conjugative
NZ_CP086545.1	conjugative
NZ_CP086557.1	conjugative
NZ_CP086762.1	conjugative
NZ_CP087572.1	conjugative
NZ_CP088226.1	conjugative
NZ_CP088232.1	conjugative
NZ_CP089987.1	conjugative
NZ_CP089991.1	non-mobilizable
NZ_CP090129.1	conjugative
NZ_CP090308.1	conjugative
NZ_CP090451.1	conjugative
NZ_CP090459.1	conjugative
NZ_CP090472.1	mobilizable
NZ_CP090934.1	conjugative
NZ_CP091052.1	conjugative
NZ_CP091086.1	mobilizable
NZ_CP091474.2	conjugative
NZ_CP091483.1	conjugative
NZ_CP091603.1	mobilizable
NZ_CP091980.1	conjugative
NZ_CP092341.1	mobilizable
NZ_CP092451.1	conjugative
NZ_CP092495.1	conjugative
NZ_CP092515.1	conjugative
NZ_CP092636.1	conjugative
NZ_CP092650.1	conjugative
NZ_CP092757.1	conjugative
NZ_CP092763.1	conjugative
NZ_CP092769.1	conjugative
NZ_CP092904.1	conjugative
NZ_CP092975.1	conjugative
NZ_CP093230.1	conjugative
NZ_CP093286.1	conjugative
NZ_CP093552.1	non-mobilizable
NZ_CP094514.1	conjugative
NZ_CP095279.1	conjugative
NZ_CP095779.1	conjugative
NZ_CP097106.1	conjugative
NZ_CP097241.1	mobilizable
NZ_CP097391.1	mobilizable
NZ_CP097653.1	conjugative
NZ_CP098359.1	conjugative
NZ_CP100481.1	conjugative
NZ_CP100483.1	conjugative
NZ_CP100489.1	conjugative
NZ_CP100495.1	conjugative
NZ_CP100499.1	conjugative
NZ_CP100505.1	conjugative
NZ_CP100513.1	conjugative
NZ_CP100517.1	conjugative
NZ_CP100524.1	conjugative
NZ_CP100528.1	conjugative
NZ_CP100543.1	conjugative
NZ_CP100549.1	conjugative
NZ_CP101238.1	conjugative
NZ_CP101243.1	conjugative
NZ_CP101255.1	conjugative
NZ_CP101261.1	conjugative
NZ_CP101273.1	conjugative
NZ_CP101277.1	conjugative
NZ_CP101550.1	conjugative
NZ_CP101780.1	conjugative
NZ_CP101868.1	conjugative
NZ_CP102080.1	conjugative
NZ_CP102875.1	conjugative
NZ_CP102881.1	conjugative
NZ_CP102887.1	conjugative
NZ_CP102890.1	conjugative
NZ_CP102892.1	conjugative
NZ_CP102896.1	conjugative
NZ_CP102900.1	conjugative
NZ_CP102905.1	conjugative
NZ_CP102924.1	conjugative
NZ_CP102991.1	mobilizable
NZ_CP103320.1	conjugative
NZ_CP103490.1	conjugative
NZ_CP103663.1	conjugative
NZ_CP104690.1	conjugative
NZ_CP104723.1	conjugative
NZ_CP104795.1	conjugative
NZ_CP104800.1	conjugative
NZ_CP106656.1	mobilizable
NZ_CP106910.1	conjugative
NZ_CP106917.1	conjugative
NZ_CP110659.1	conjugative
NZ_CP110663.1	conjugative
NZ_CP115703.1	conjugative
NZ_CP115934.1	conjugative
NZ_CP116218.1	conjugative
NZ_CP117992.1	conjugative
NZ_LR130550.1	conjugative
NZ_LR595693.1	conjugative
NZ_OW967968.1	conjugative
OW968360.1	conjugative
OW968450.1	conjugative
AP026567.1	conjugative
AP026574.1	conjugative
AP026580.1	conjugative
AP026587.1	conjugative
AP026594.1	conjugative
AP026605.1	non-mobilizable
AP026607.1	conjugative
AP026613.1	conjugative
AP026615.1	conjugative
AP026618.1	conjugative
AP026620.1	conjugative
AP026629.1	non-mobilizable
AP026631.1	conjugative
AP026633.1	non-mobilizable
AP026635.1	conjugative
AP026642.1	conjugative
AP026644.1	conjugative
AP026656.1	non-mobilizable
AP026658.1	non-mobilizable
AP026661.1	non-mobilizable
AP026663.1	non-mobilizable
AP026667.1	non-mobilizable
AP026669.1	non-mobilizable
CP003352.1	conjugative
CP014450.1	conjugative
CP035667.1	conjugative
CP064281.1	non-mobilizable
CP064288.1	non-mobilizable
CP064290.1	conjugative
CP065765.1	conjugative
CP066206.1	conjugative
CP066207.1	conjugative
CP066213.1	conjugative
CP071272.1	non-mobilizable
CP071273.1	conjugative
CP081503.1	conjugative
CP116515.1	conjugative
CP116518.1	conjugative
CP116521.1	conjugative
CP116524.1	conjugative
CP116525.1	conjugative
CP116529.1	conjugative
CP116533.1	conjugative
CP116537.1	conjugative
CP116541.1	conjugative
CP116544.1	conjugative
CP116547.1	conjugative
CP116550.1	conjugative
LR135186.1	conjugative
LT603679.1	non-mobilizable
LT603680.1	conjugative
NC_017963.1	conjugative
NC_020208.1	conjugative
NC_021987.1	non-mobilizable
NC_021995.1	conjugative
NC_022883.1	conjugative
NZ_AP019395.1	conjugative
NZ_AP022342.1	conjugative
NZ_AP024832.1	non-mobilizable
NZ_AP024833.1	conjugative
NZ_AP024838.1	non-mobilizable
NZ_AP024839.1	conjugative
NZ_CP006031.1	conjugative
NZ_CP011282.1	non-mobilizable
NZ_CP011283.1	conjugative
NZ_CP011829.1	conjugative
NZ_CP012432.1	conjugative
NZ_CP012461.1	non-mobilizable
NZ_CP012463.1	conjugative
NZ_CP013010.1	conjugative
NZ_CP014530.1	conjugative
NZ_CP014534.1	conjugative
NZ_CP015123.1	conjugative
NZ_CP015517.1	conjugative
NZ_CP016164.1	conjugative
NZ_CP016165.1	conjugative
NZ_CP017793.1	non-mobilizable
NZ_CP017794.1	conjugative
NZ_CP017798.1	non-mobilizable
NZ_CP017799.1	conjugative
NZ_CP018066.1	conjugative
NZ_CP018070.1	conjugative
NZ_CP018073.1	non-mobilizable
NZ_CP018129.1	conjugative
NZ_CP018827.1	conjugative
NZ_CP018832.1	conjugative
NZ_CP019209.1	non-mobilizable
NZ_CP019974.1	conjugative
NZ_CP019989.1	non-mobilizable
NZ_CP019993.1	non-mobilizable
NZ_CP020489.1	conjugative
NZ_CP023424.1	conjugative
NZ_CP023425.1	conjugative
NZ_CP023785.1	conjugative
NZ_CP023790.1	conjugative
NZ_CP023795.1	conjugative
NZ_CP023800.1	conjugative
NZ_CP023805.1	conjugative
NZ_CP023809.1	conjugative
NZ_CP023812.1	conjugative
NZ_CP025426.1	conjugative
NZ_CP025687.1	conjugative
NZ_CP025756.1	conjugative
NZ_CP027401.1	conjugative
NZ_CP027498.1	non-mobilizable
NZ_CP027499.1	conjugative
NZ_CP027502.1	conjugative
NZ_CP027503.1	conjugative
NZ_CP027507.1	non-mobilizable
NZ_CP027508.1	conjugative
NZ_CP027513.1	conjugative
NZ_CP027514.1	conjugative
NZ_CP027518.1	conjugative
NZ_CP032307.1	conjugative
NZ_CP033042.1	conjugative
NZ_CP033207.1	non-mobilizable
NZ_CP033208.1	conjugative
NZ_CP034948.1	conjugative
NZ_CP035137.1	conjugative
NZ_CP035221.1	conjugative
NZ_CP035649.1	conjugative
NZ_CP035655.1	conjugative
NZ_CP035661.1	conjugative
NZ_CP037956.1	conjugative
NZ_CP040237.1	conjugative
NZ_CP040369.1	conjugative
NZ_CP040704.1	conjugative
NZ_CP040741.1	conjugative
NZ_CP040851.1	conjugative
NZ_CP040873.1	non-mobilizable
NZ_CP040876.1	conjugative
NZ_CP040877.1	non-mobilizable
NZ_CP040906.1	conjugative
NZ_CP041254.1	conjugative
NZ_CP041256.1	non-mobilizable
NZ_CP041258.1	conjugative
NZ_CP041262.2	conjugative
NZ_CP041264.2	conjugative
NZ_CP041271.2	conjugative
NZ_CP041273.1	conjugative
NZ_CP042833.1	conjugative
NZ_CP042840.1	conjugative
NZ_CP043485.1	non-mobilizable
NZ_CP044265.1	conjugative
NZ_CP044275.1	conjugative
NZ_CP044317.1	mobilizable
NZ_CP045013.1	conjugative
NZ_CP045603.1	conjugative
NZ_CP046076.1	conjugative
NZ_CP046167.1	conjugative
NZ_CP047327.1	conjugative
NZ_CP050649.1	conjugative
NZ_CP050651.1	conjugative
NZ_CP058895.1	conjugative
NZ_CP059740.1	mobilizable
NZ_CP059748.1	mobilizable
NZ_CP059756.1	conjugative
NZ_CP059765.1	conjugative
NZ_CP059773.1	conjugative
NZ_CP059817.1	mobilizable
NZ_CP059824.1	conjugative
NZ_CP060863.1	conjugative
NZ_CP062266.1	mobilizable
NZ_CP062268.1	non-mobilizable
NZ_CP064050.1	non-mobilizable
NZ_CP064051.1	conjugative
NZ_CP064344.1	conjugative
NZ_CP064407.1	conjugative
NZ_CP064425.1	conjugative
NZ_CP064427.1	conjugative
NZ_CP065524.1	conjugative
NZ_CP065525.1	conjugative
NZ_CP065529.1	conjugative
NZ_CP065536.1	conjugative
NZ_CP065548.1	conjugative
NZ_CP065549.1	conjugative
NZ_CP065755.1	non-mobilizable
NZ_CP065756.1	non-mobilizable
NZ_CP065768.1	conjugative
NZ_CP065771.1	conjugative
NZ_CP065774.1	conjugative
NZ_CP065778.1	conjugative
NZ_CP065929.1	non-mobilizable
NZ_CP065931.1	conjugative
NZ_CP066382.1	conjugative
NZ_CP066384.1	conjugative
NZ_CP066390.1	non-mobilizable
NZ_CP066391.1	conjugative
NZ_CP066401.1	non-mobilizable
NZ_CP066404.1	conjugative
NZ_CP066410.1	conjugative
NZ_CP066411.1	conjugative
NZ_CP066416.1	conjugative
NZ_CP066417.1	conjugative
NZ_CP066422.1	non-mobilizable
NZ_CP066423.1	conjugative
NZ_CP066428.1	conjugative
NZ_CP066430.1	conjugative
NZ_CP066435.1	non-mobilizable
NZ_CP066437.1	conjugative
NZ_CP066444.1	conjugative
NZ_CP066445.1	conjugative
NZ_CP066452.1	non-mobilizable
NZ_CP066453.1	conjugative
NZ_CP066458.1	non-mobilizable
NZ_CP066460.1	conjugative
NZ_CP066467.1	conjugative
NZ_CP066468.1	conjugative
NZ_CP066474.1	non-mobilizable
NZ_CP066476.1	conjugative
NZ_CP066481.1	conjugative
NZ_CP066482.1	conjugative
NZ_CP066569.1	non-mobilizable
NZ_CP066570.1	conjugative
NZ_CP066577.1	non-mobilizable
NZ_CP066578.1	conjugative
NZ_CP066585.1	conjugative
NZ_CP066587.1	conjugative
NZ_CP066592.1	conjugative
NZ_CP066593.1	conjugative
NZ_CP066600.1	conjugative
NZ_CP066608.1	conjugative
NZ_CP066609.1	conjugative
NZ_CP066615.1	conjugative
NZ_CP066616.1	conjugative
NZ_CP066623.1	conjugative
NZ_CP066624.1	conjugative
NZ_CP066630.1	conjugative
NZ_CP066631.1	conjugative
NZ_CP066640.1	conjugative
NZ_CP066647.1	conjugative
NZ_CP066648.1	conjugative
NZ_CP066654.1	non-mobilizable
NZ_CP066655.1	non-mobilizable
NZ_CP066660.1	non-mobilizable
NZ_CP066661.1	conjugative
NZ_CP066668.1	non-mobilizable
NZ_CP066670.1	non-mobilizable
NZ_CP066674.1	conjugative
NZ_CP066676.1	non-mobilizable
NZ_CP068115.1	conjugative
NZ_CP068116.1	conjugative
NZ_CP068120.1	conjugative
NZ_CP068245.1	conjugative
NZ_CP071930.1	conjugative
NZ_CP071959.1	conjugative
NZ_CP072568.1	conjugative
NZ_CP072580.1	non-mobilizable
NZ_CP072587.1	mobilizable
NZ_CP072708.1	mobilizable
NZ_CP072710.1	non-mobilizable
NZ_CP072721.1	conjugative
NZ_CP072732.1	conjugative
NZ_CP072879.1	conjugative
NZ_CP072885.1	conjugative
NZ_CP074106.1	conjugative
NZ_CP074108.1	conjugative
NZ_CP074110.1	conjugative
NZ_CP076472.1	non-mobilizable
NZ_CP076474.1	conjugative
NZ_CP076478.1	non-mobilizable
NZ_CP076480.1	conjugative
NZ_CP076484.1	conjugative
NZ_CP077321.1	conjugative
NZ_CP078095.1	conjugative
NZ_CP079881.1	conjugative
NZ_CP081464.1	non-mobilizable
NZ_CP082266.1	conjugative
NZ_CP082964.1	conjugative
NZ_CP083474.1	non-mobilizable
NZ_CP083913.1	conjugative
NZ_CP083921.1	conjugative
NZ_CP084245.1	conjugative
NZ_CP084247.1	conjugative
NZ_CP085292.1	non-mobilizable
NZ_CP085895.1	conjugative
NZ_CP085907.1	conjugative
NZ_CP088192.1	conjugative
NZ_CP089093.2	non-mobilizable
NZ_CP089320.1	conjugative
NZ_CP089321.1	conjugative
NZ_CP091103.1	conjugative
NZ_CP091207.1	conjugative
NZ_CP091211.1	non-mobilizable
NZ_CP091214.1	conjugative
NZ_CP091218.1	conjugative
NZ_CP091222.1	conjugative
NZ_CP091302.1	non-mobilizable
NZ_CP091304.1	conjugative
NZ_CP091578.1	conjugative
NZ_CP092570.1	conjugative
NZ_CP093927.1	conjugative
NZ_CP093942.1	conjugative
NZ_CP093948.1	non-mobilizable
NZ_CP093954.1	non-mobilizable
NZ_CP094231.1	conjugative
NZ_CP096051.1	conjugative
NZ_CP096052.1	conjugative
NZ_CP096212.1	conjugative
NZ_CP096220.1	non-mobilizable
NZ_CP096221.1	conjugative
NZ_CP097015.1	conjugative
NZ_CP097023.1	conjugative
NZ_CP097028.1	conjugative
NZ_CP102144.1	non-mobilizable
NZ_CP109800.1	conjugative
NZ_CP109841.1	conjugative
NZ_CP109842.1	conjugative
NZ_CP110291.1	non-mobilizable
NZ_CP112863.1	conjugative
NZ_CP114618.1	mobilizable
NZ_CP116024.1	non-mobilizable
NZ_CP118550.1	conjugative
NZ_CP119151.1	conjugative
NZ_LN999988.1	conjugative
NZ_LR132068.1	conjugative
NZ_LR134096.1	conjugative
NZ_LR134106.1	non-mobilizable
NZ_LR134108.1	conjugative
NZ_LR135171.1	conjugative
NZ_LR135175.1	conjugative
NZ_LR135180.1	conjugative
NZ_LR135182.1	non-mobilizable
NZ_LR135192.1	conjugative
NZ_LR135193.1	conjugative
NZ_LR135198.1	conjugative
NZ_LR135199.1	conjugative
NZ_LR135204.1	conjugative
NZ_LR135207.1	non-mobilizable
NZ_LR135220.1	non-mobilizable
NZ_LR135221.1	conjugative
NZ_LR135222.1	conjugative
NZ_LR135227.1	non-mobilizable
NZ_LR135228.1	conjugative
NZ_LR135236.1	non-mobilizable
NZ_LR135237.1	conjugative
NZ_LR135238.1	conjugative
NZ_LR135244.1	non-mobilizable
NZ_LR135246.1	conjugative
NZ_LR135255.1	non-mobilizable
NZ_LR135257.1	conjugative
NZ_LR135259.1	conjugative
NZ_LR135261.1	conjugative
NZ_LR135279.1	non-mobilizable
NZ_LR135280.1	conjugative
NZ_LR135288.1	non-mobilizable
NZ_LR135289.1	non-mobilizable
NZ_LR135294.1	conjugative
NZ_LR135298.1	conjugative
NZ_LR135308.1	non-mobilizable
NZ_LR135309.1	conjugative
NZ_LR135318.1	non-mobilizable
NZ_LR135319.1	conjugative
NZ_LR135325.1	non-mobilizable
NZ_LR135326.1	conjugative
NZ_LR135333.1	non-mobilizable
NZ_LR135334.1	non-mobilizable
NZ_LR135340.1	conjugative
NZ_LR135345.1	conjugative
NZ_LR135347.1	non-mobilizable
NZ_LR135352.1	conjugative
NZ_LR135358.1	conjugative
NZ_LR135365.1	conjugative
NZ_LR135373.1	conjugative
NZ_LR135374.1	conjugative
NZ_LR135375.1	non-mobilizable
NZ_LR135385.1	conjugative
NZ_LR135386.1	conjugative
NZ_LR135402.1	conjugative
NZ_LR135409.1	conjugative
